,HiWindLossYr1,HiWindLossYr2,HiWindLossYr3,HiWindLossYr4,HiWindLossYr5,HiWindLossYr6,HiWindLossYr7,HiWindLossYr8,HiWindLossYr9,HiWindLossYr10
388,0,112183.7962,12654.39565,0,79314.85392,0,18965.20681,0,0,0
389,0,2006.426276,31637.11187,0,0,2630.438749,0,0,61869.7425,0
390,64246.29881,1885.4066,1666.307935,3853.82751,0,0,1679.198485,0,48986.8584,0
391,90490.11266,0,0,0,0,487773.3083,0,0,68350.08176,0
392,0,0,175143.242,0,55920.10758,0,0,0,303.6013741,0
393,27396.29733,0,47934.98668,857.8003111,0,9791.025549,0,0,6842.5031,0
394,0,22049.03746,0,9007.322987,0,0,0,0,202095.576,5366.458668
395,63108.58948,0,49307.8636,0,0,12106.52146,0,41619.57232,0,180800.2547
396,0,0,0,0,0,0,0,0,0,15806.19627
397,0,3307.496565,0,0,24485.48252,0,21125.81884,0,268.5604537,13184.86829
