,OtherHazNetCostYr1_,OtherHazNetCostYr2_,OtherHazNetCostYr3_,OtherHazNetCostYr4_,OtherHazNetCostYr5_,OtherHazNetCostYr6_,OtherHazNetCostYr7_,OtherHazNetCostYr8_,OtherHazNetCostYr9_,OtherHazNetCostYr10_
244,0,0,0,0,462897.3871,0,-334294.5386,0.0048442,0,78.13007192
245,0,0,0,0,0,1012016.727,0,-134290.0883,0,0
246,0,0,478401.8927,20776.66269,0,-368476.6542,3930717.756,-3046194.099,0,0
247,0,0,0,0,0,5657232.322,0,-1555802.121,26488155.16,0
248,0,2868040.276,0,0,266004.4156,0,0,0,0,0
249,0,60759.77836,0,0,11859186.55,0,0,484831.1343,0,0
250,0,0,0,2.780863626,264972.4248,0,0,0,0,1746858.548
251,0,0,0,0,5136516.153,0,0,2359965.855,0,0
252,0,0.003441985,-0.002623634,2240571.848,358767.2838,0,0,0,0,0
253,0,0,0,2186289.298,-1424330.403,0,0,0,0,0
254,0,0,0,1.89741E-05,-1.18565E-05,35956.22391,0,-23137.16863,5781957.519,133747.9012
255,0,0,0,0,0,0,0,1032514.071,0,-942013.8837
256,0,0,0,0,0,0,0,0,0,0
257,4925173.406,0,0,0,11191592.39,0,0,0,0,0
258,6.777577052,3880372.006,-359687.6418,-2019296.028,0,0,0,0,0,0
259,0,0,0,765029.2108,-27518.55329,0,4498.171034,11108.15963,0,0
260,0,0,12191153.77,-8198429.593,0,0,16273649.22,0,-11609173.83,0
261,0,0,10592390.02,0,0,-8517661.66,24534.10797,0,85716.52266,10488541.94
262,8489988.349,0,0,0,0,0,0,0,0,0
263,4581967.506,0,11743361.51,-3596352.928,988905.7438,0,0,0,0,0
264,1700852.605,0,0.059238862,0,0,0,0,0,0,0
265,0,0,6185500.689,0,-4309787.872,0,0,0,0,0
266,0,0,2114379.09,71.14007278,0.009251118,-60.81030109,0,-0.008341256,0,0
267,0,6240578.799,-4906531.325,0,2667434.743,0,2213090.368,0,0,10119461.54
268,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,1686928.988,0,0,-1134326.099,0
270,0,0,0,0,0,0,0,0,1086.366044,0
271,0,89289.43185,1482979.687,-61590.3755,0,1431927.932,0,-1251263.935,0,53588352.18
272,0,0,0,2748852.261,0,6486294.581,-390097.545,0,0,0
273,0,0,0,0,0,3120594.123,0,-2413239.066,0,0
274,0,13115.90391,-9758.772814,0,0,0,0,0,944490.8568,0
275,0,0,37836759.02,2215855.412,0,1979101.365,0,0,0,0
276,0,0,12024359.54,13044196.81,-10457868.39,-6299887.315,0,0,2048655.058,0
277,0,13451739.6,1001653.228,0,0,-10343368.59,-127328.8464,39119.48986,0,-30726.12812
278,11129625.54,365.7746808,0,-8610318.678,0,26244981.16,-11797276.35,0,0,0
279,0,0,0,0,0.001909275,0,0,1132298.499,9979718.699,0
280,255819.2616,0,2800710.087,0,0,12764575.87,-11122217.72,0,0,2886549.241
281,0,0,0,0,97027.17253,0,0,1015.680791,0,0
282,0,0,0,0,0.001401478,0,15.85068998,0,0,1763.938839
283,0,0,0,2435721.982,0,0,0,6998343.991,-5455416.683,-15.56231417
284,0,0,0,0,0,0,0,0,7200992.498,-1378718.803
285,388677.2757,32153106.9,0,-23984419.83,0,14212882.63,0,0,0,0
286,6676584.415,247.6111413,0,0,-157.2891275,0,0,0,950549.7888,81.32983189
287,0,0,0,0,0,8155083.314,-368.0757399,0,62.20750176,0
288,0,0,20265.88867,-12165.565,0,0,0,882257.9292,97833.60493,4263017.264
289,0,0,6773338.259,0,0,0,5934.012763,0,11049094.83,377.3621968
290,0,0,0,0,0,0,0,0,0,0
291,569808.1728,0,11505965.86,-8064812.072,4030287.164,-412677.5333,10223730.28,23.73747969,1469334.555,-1328677.841
292,2718838.083,5809073.45,-4664930.322,13255361.57,0,-5663259.718,4092903.404,-3301278.394,0,17615352.79
293,0,0,0,0,0,0,86728.80199,-61311.20256,0,0
294,11541023.54,0,0,0,0.008876207,10099.76361,-0.159895724,-6767.135716,1741218.965,0
295,0,514070.0212,0,0,7491.046462,0,-6870.016043,0,1188.591397,-1021.045905
296,0,0,0,0,0,11187447.35,-6761625.889,0,0,0
297,0,0,0,0,0,0,8862348.573,0,-7226872.359,0
298,0,0,0,0,11224301.46,0,836192.2911,0,0,0
299,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,5.48437E-08,0,0,0
301,0,0,0,0,0,6861.018161,0,0,0,5929794.58
302,0,0,4113190.475,7052856.959,-7821468.273,15954145.7,0,9846250.621,0,0
303,15.92353746,434269.9506,-301064.7195,0,11794276.01,0,14173461.94,-29478.30917,0,0
304,10749446.52,-9444025.121,0,0,0,0,0,0,0,0
305,1127444.288,8024775.305,0,0,0,0,3729546.018,0,0,0
306,0,0,0,0,0,5890337.476,0,-4511691.396,0.453783701,833603.6945
307,0,0,0,584764.0513,0,0,0,0,0,0
308,0,86.3528382,0,0,423339.5044,0,6131.95911,0,0,0
309,0,4927803.594,0,0,0,0.510553,0,0,0,0
310,0,0,0,0,0,0,0,0,2661458.431,0
311,0,8638459.5,0,0,0,0,0,0,0,255.9058613
312,55374.83747,0,0,39228.63911,0,0,0,0,0,0
313,0,218.1038591,12323119.53,-9940125.106,-166.8047722,0,0,304148.5886,-223644.8146,0
314,0,0,0,0,11219183.41,0,0,0,0,0
315,0,0,4192.435711,7076300.234,0,0,0,1482932.18,0,-1195380.199
316,0,2606596.979,0,-1913107.652,6005385.398,0,0,0,0,0
317,0,0,0,0,0,0,138.0287162,251.0323943,-191.2265282,0
318,0,0,8692973.712,0,-5095236.014,0,1188049.814,196587.3653,2402555.187,0
319,0,0,0,9024059.211,0,-5606449.035,935.7948392,0,0,0
320,114642.2937,573.7394217,39936.67429,0,0,0,0.015682273,1266225.205,-866356.4857,0
321,11426568.5,-10974537.6,0,0,0,0,43313.18337,-23489.69503,0,5952865.135
322,11857731.07,0,0,0,0,0,0,0,0,10162736.47
323,0,0,0,0,0,0,0,345779.2277,0,-327856.4924
324,6970.000623,1492.979336,0,787637.4132,0,0,0,0,2587128.232,-2039783.708
325,0,12877.2662,1997873.901,-9401.767119,3767842.285,0,0,-2229358.316,0,0
326,2031893.774,0,0,0,1307805.592,341399.6931,0,0,2.412786054,21408.83359
327,0,248469.062,1101978.568,0,-836646.101,0,0,0,0.000155417,-9.72E-05
328,0,0,0,0,0,0,0,13285322.35,0,0
329,0,0,554.7409871,-414.6137377,684616.2919,0,-387709.6196,0,0,7911564.289
330,0,0,0,0,0,4530664.939,0,0,0,13295174.28
331,0,0,0,0,0,2486366.123,-1929283.126,0,10424085.96,-9071700.796
332,0,0,1432173.095,-952975.7891,618591.1675,0,443052.4901,0,0,0
333,0,0,0,0,25263.08311,43479.46581,0,0,0,0
334,0,0,0,5068144.319,11005525.12,0,0,0,12149050.05,0
335,0,0,0,2029370.228,0,-1454687.801,0,0,0,0
336,0,0,0,0,0,0,809531.4532,0,100343.6471,-666723.4739
337,0,0,0,0,0,0,0,7177803.641,0,-4750034.151
338,0,0,0,0,0,0,0,0,0,25.43941519
339,749867.4812,-587126.7644,16784123.26,0,197101.3988,0,-169659.6166,0,0,5915419.937
340,771542.5764,18958.576,0,0,2330.296088,-2071.664131,1162676.092,-721440.0251,0,0
341,0,0,7483420.677,3002567.25,0,0,0,0,0,0
342,1796281.709,2548624.171,0,0,0,0,40703.80379,0,0,0
343,0,0,0,0,0,0,2046652.047,-783.7257683,0,0
344,0,0,0,0,0,2613560.984,0,0,0,81.27497039
345,16636860.33,0,-11692953.71,0,0,7548392.932,-5689955.55,0,0,0
346,9840260.215,0,9402470.731,267.0842727,0,11152615.12,0,-8008023.792,5675840.309,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,0,0,0,0,0,0
349,4107.98819,0,2492344.474,9014565.498,-8425404.655,0,0,4220190.232,0,0
350,0,4839188,0,0,7951186.019,0,0,0,0,0
351,0,0,0,14490256.84,0,0,0,0,0,0
