trial,sequence,event_id,economic_loss,insured_loss,pa_loss
1461,1,338,1447264340,72363217.02,42965131.01
1462,1,339,464418049.6,23220902.48,15889875.53
1462,2,340,1036418134,51820906.69,31647220.86
1465,1,341,93983069,4699153.45,5685205.86
1472,1,342,214140328.8,10707016.44,8995274.318
1476,1,343,368002286.2,18400114.31,13233833.13
1480,1,344,137911887.9,6895594.397,6895348.287
1492,1,345,206979944.9,10348997.25,8798021.478
1502,1,346,171109751.9,8555487.595,7809876.486
1503,1,347,239383369.5,11969168.47,9690664.616
1506,1,348,275230938.1,13761546.91,10678186.36
1508,1,349,196240558.2,9812027.91,8502174.974
1517,1,350,175471502.6,8773575.13,7930033.132
1517,2,351,226072564.7,11303628.24,9323981.196
1524,1,352,1254684790,62734239.51,37659987.6
1533,1,353,678955050.9,33947752.54,21799898.46
1542,1,354,92714842.86,4635742.143,5650269.017
1543,1,355,169615246.3,8480762.317,7768706.142
1550,1,356,191063318.3,9553165.917,8359553.393
1556,1,357,1849661835,92483091.74,54050297.7
1557,1,358,317212545.6,15860627.28,11834687.38
1567,1,359,229694808.7,11484740.44,9423766.058
1573,1,360,327678383.3,16383919.16,12122998.22
1575,1,361,484736612.6,24236830.63,16449607.29
1578,1,362,328834804.1,16441740.2,12154855.07
1584,1,363,343390945.1,17169547.25,12555844.76
1595,1,364,517277113.9,25863855.69,17346026.59
1601,1,365,349049193.2,17452459.66,12711717.07
1603,1,366,430211898.5,21510594.92,14947571.24
1604,1,367,188184312.3,9409215.616,8280243.104
1609,1,368,908732912.2,45436645.61,28129773.6
1609,2,369,494300419.8,24715020.99,16713069.16
1610,1,370,186849465.2,9342473.259,8243470.998
1611,1,371,191101369.4,9555068.47,8360601.616
1613,1,372,162143286.5,8107164.325,7562870.068
1615,1,373,167757260.6,8387863.029,7717522.717
1617,1,374,712215058.1,35610752.91,22716138.57
1626,1,375,319605378.7,15980268.94,11900604.68
1627,1,376,117484799.6,5874239.979,6332626.892
1629,1,377,608978267.8,30448913.39,19872191.87
1633,1,378,268641907.6,13432095.38,10496673.04
1637,1,379,262140827.9,13107041.4,10317582.59
1639,1,380,195678359.7,9783917.987,8486687.641
1639,2,381,636320774.4,31816038.72,20625417.84
1640,1,382,813373698.2,40668684.91,25502836.81
1641,2,383,268162768.9,13408138.44,10483473.83
1646,1,384,131562621.5,6578131.074,6720439.949
1647,1,385,177816851.6,8890842.58,7994642.344
1648,1,386,539737680,26986884,17964765.83
1650,1,387,272004811,13600240.55,10589313.64
1654,1,388,152753836.8,7637691.842,7304211.364
1658,1,389,218899665.9,10944983.3,9126383.598
1665,1,390,232047386.4,11602369.32,9488574.403
1676,1,391,565440425.3,28272021.27,18672819.98
1683,1,392,306243754.6,15312187.73,11532521.3
1686,1,393,682533813.9,34126690.7,21898485.52
1695,1,394,79694063.05,3984703.152,5291575.147
1698,1,395,217017561.2,10850878.06,9074535.749
1705,1,396,714811418.7,35740570.93,22787662.6
1710,1,397,290796459,14539822.95,11106982.25
1710,2,398,463056114,23152805.7,15852357.2
1712,1,399,169615246.3,8480762.317,7768706.142
1715,1,400,507637357.3,25381867.86,17080472.48
1720,1,401,180821630.4,9041081.519,8077417.396
1725,1,402,189695989.3,9484799.464,8321886.482
1732,1,403,1194420351,59721017.57,35999834.74
1738,1,404,658412435.7,32920621.78,21233994.56
1740,1,405,122760012.4,6138000.621,6477947.413
1741,1,406,641031783.9,32051589.2,20755195.8
1743,1,407,186474511.7,9323725.583,8233141.853
1747,1,408,201341806.9,10067090.34,8642703.165
1755,1,409,309340702.5,15467035.12,11617835.41
1758,1,410,708308588.9,35415429.45,22608523.93
1758,2,411,147004093,7350204.65,7145818.556
1759,1,412,793370914,39668545.7,24951804.06
1765,1,413,177663632,8883181.598,7990421.479
1765,2,414,1277044392,63852219.6,38275945.49
1766,1,415,483163148,24158157.4,16406261.8
1767,1,416,136522978.7,6826148.935,6857086.89
1770,1,417,268836584.6,13441829.23,10502035.97
1777,1,418,776089328.2,38804466.41,24475734.35
1779,1,419,222356637.6,11117831.88,9221615.57
1780,1,420,1206216149,60310807.43,36324783.03
1781,1,421,2070090110,103504505.5,60122612.27
1784,1,422,177512061.9,8875603.096,7986246.058
1793,1,423,172883804.3,8644190.213,7858747.73
1796,1,424,603529502.7,30176475.13,19722090.36
1797,1,425,428330606.2,21416530.31,14895745.77
1797,2,426,401356851.4,20067842.57,14152678.1
1802,1,427,786342926.4,39317146.32,24758198.45
1813,1,428,318980836.8,15949041.84,11883399.92
1818,1,429,116996226.3,5849811.313,6319167.771
1819,1,430,199346307.9,9967315.393,8587731.552
1819,2,431,134222493.2,6711124.66,6793713.57
1826,1,432,738044856.4,36902242.82,23427692.75
1828,1,433,567672286.8,28383614.34,18734302.86
1831,1,434,159006779.6,7950338.982,7476466.197
1835,1,435,150074013.9,7503700.694,7230388.13
1846,1,436,207586468,10379323.4,8814729.856
1847,1,437,179815450.6,8990772.529,8049699.353
1849,1,438,197338579.8,9866928.992,8532423.057
1849,2,439,288879747.1,14443987.36,11054181.05
1854,1,440,282330921.8,14116546.09,10873775.31
1859,1,441,605573178.2,30278658.91,19778389.13
1859,2,442,707015081.6,35350754.08,22572890.65
1862,1,443,185836139.5,9291806.976,8215556.103
1867,1,444,175086014,8754300.698,7919413.768
1871,1,445,179675844.3,8983792.214,8045853.506
1871,2,446,231799923.8,11589996.19,9481757.353
1872,1,447,447601732.6,22380086.63,15426622.95
1874,1,448,1052249404,52612470.19,32083337.56
1874,2,449,1133013725,56650686.27,34308217.14
1877,1,450,195203959.5,9760197.977,8473618.959
1882,1,451,518305854.2,25915292.71,17374366.13
1883,1,452,1111130050,55556502.51,33705369.98
1885,1,453,245060695,12253034.75,9847062.46
1887,1,454,1278402593,63920129.63,38313360.93
1890,1,455,282574076.3,14128703.82,10880473.68
1893,1,456,394097676,19704883.8,13952703.77
1897,1,457,141784695.2,7089234.762,7002035.618
1898,1,458,419942517,20997125.85,14664672.35
1906,1,459,179664543.2,8983227.162,8045542.188
1908,1,460,313121256.5,15656062.82,11721981.36
1909,1,461,99888099.15,4994404.958,5847876.465
1912,1,462,908358839,45417941.95,28119468.71
1915,1,463,530564032.9,26528201.65,17712052.01
1925,1,464,422124709,21106235.45,14724786.94
1935,1,465,559542673.6,27977133.68,18510349.88
1940,1,466,212734121,10636706.05,8956536.385
1941,1,467,981760371.6,49088018.58,30141519.63
1941,2,468,327983326.9,16399166.35,12131398.74
1950,1,469,275731565.6,13786578.28,10691977.54
1950,2,470,193166808,9658340.398,8417499.909
1951,1,471,320759679.5,16037983.97,11932403.13
1957,1,472,176366957,8818347.852,7954700.935
1959,1,473,516217704.6,25810885.23,17316842.2
1961,1,474,134593099.1,6729654.957,6803922.949
1961,2,475,588721716.5,29436085.83,19314168.39
1965,1,476,881861635.8,44093081.79,27389528.99
1967,1,477,488337061.5,24416853.07,16548791.75
1967,2,478,381637845.8,19081892.29,13609462.83
1973,1,479,199837366.4,9991868.321,8601259.136
1977,1,480,264886893.7,13244344.68,10393230.66
1978,1,481,341914834,17095741.7,12515181.15
1978,2,482,286379850.5,14318992.52,10985314.39
1978,3,483,136125079.1,6806253.957,6846125.631
1984,1,484,337325792.2,16866289.61,12388763.13
1987,1,485,340767730.9,17038386.54,12483580.98
1987,2,486,230553807.6,11527690.38,9447429.59
1988,1,487,516601459.3,25830072.97,17327413.8
1988,2,488,426816373.9,21340818.7,14854032
2001,1,489,142414794,7120739.702,7019393.455
2002,1,490,323113093.1,16155654.66,11997234.5
2004,1,491,1296516653,64825832.63,38812363.48
2004,2,492,219409822.1,10970491.11,9140437.28
2006,1,493,309981332.3,15499066.62,11635483.35
2006,2,494,428926617.8,21446330.89,14912164.58
2009,1,495,275296888.9,13764844.44,10680003.15
2010,1,496,1024675031,51233751.55,31323724.19
2016,1,497,245197434.6,12259871.73,9850829.334
2021,1,498,249882713.4,12494135.67,9979898.469
2024,1,499,545505362.7,27275268.14,18123652.82
2030,1,500,460033578.3,23001678.92,15769092.98
2032,1,501,100192486.8,5009624.338,5856261.674
2033,1,502,160947924.7,8047396.234,7529940.477
2041,1,503,552619691.6,27630984.58,18319636.94
